Model,Accuracy,F1 (Macro),F1 (Weighted)
Logistic Regression,0.9960208903257896,0.9955467725507183,0.9960202088407436
XGBoost,0.9935339467794081,0.9932547468972114,0.9935338933354272
Random Forest,0.9803531459835861,0.9843591841087804,0.9802044456039309
